,date,open,high,low,close,volume
608,20180712,45900,46250,45450,45500,11828104
609,20180711,46400,46450,45400,46000,11224077
610,20180710,46200,46550,46100,46300,10528665
611,20180709,45500,46100,45200,45600,11602464
612,20180706,45500,45850,44650,44900,17843706
613,20180705,46100,46550,45600,45950,7039773
614,20180704,46700,47050,46050,46250,8776763
615,20180703,45750,46450,45750,46150,10959655
616,20180702,46500,47150,45500,45550,13112253
617,20180629,46250,47150,46200,46650,14099635
618,20180628,46850,47150,46600,46800,12784800
619,20180627,47450,48500,47000,47950,15274752
620,20180626,45900,47300,45900,47000,11223166
621,20180625,47050,47050,46150,46650,10587711
622,20180622,47000,47250,46200,47250,10298006
623,20180621,47900,47900,47050,47050,10015541
624,20180620,47450,47600,46850,47000,12959316
625,20180619,47200,47350,46500,47000,15217971
626,20180618,47600,47650,46200,46600,16661870
627,20180615,48500,48700,47650,47650,17080892
628,20180614,49000,49000,48200,48200,20971729
629,20180612,49700,49800,49250,49400,12110569
630,20180611,49750,50300,49350,49900,10571312
631,20180608,50200,50400,49600,49650,16951706
632,20180607,51800,51800,50500,50600,13590016
